filename,flight,type,score,iou
DJI_20241216220624_0044_T.JPG,Flight05,TP,0.9216121,0.7234882116317749
DJI_20241216220624_0044_T.JPG,Flight05,TP,0.9194722,0.6983359456062317
DJI_20241216220624_0044_T.JPG,Flight05,TP,0.9189536,0.5079177618026733
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.905274,0.23421040177345276
DJI_20241216220624_0044_T.JPG,Flight05,TP,0.8706882,0.6831491589546204
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.830234,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.81309664,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.80994886,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.7136242,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.6563677,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.6519447,0.12156246602535248
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.6198379,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.6079457,0.08312944322824478
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.54977745,0.0
DJI_20241216220624_0044_T.JPG,Flight05,FP,0.54686564,0.01617303490638733
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.99954623,0.6899604797363281
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.99650466,0.8208739757537842
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9959842,0.8049367666244507
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9958066,0.8077759742736816
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.98964626,0.5070022344589233
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.98925906,0.8068625330924988
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.98829424,0.8559334874153137
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9880822,0.7108431458473206
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.98692745,0.8569790124893188
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9838927,0.7433374524116516
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.9758849,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.9713414,0.25398769974708557
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9543765,0.793755829334259
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.9071066,0.7638086676597595
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.8409813,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.84040695,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.79449314,0.0
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.75817806,0.8333351612091064
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.73275393,0.2422923892736435
DJI_20241216220627_0045_T.JPG,Flight05,TP,0.7174306,0.6756858825683594
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.69056964,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.6639782,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.6196204,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.5687914,0.0
DJI_20241216220627_0045_T.JPG,Flight05,FP,0.5380924,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9996152,0.7121887803077698
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9991013,0.7022042870521545
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9973686,0.6207438707351685
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9964468,0.716202974319458
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9962843,0.5730169415473938
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9958676,0.6498957872390747
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9945532,0.3652390241622925
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9944612,0.7467978000640869
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.99435645,0.7673274874687195
