Flight,Images,TP,FP,FN,Precision,Recall,F1,mIoU
Flight05,40,521,436,278,0.5444096133751306,0.6520650813516896,0.5933940774487472,0.63785190731287
Flight06,80,906,909,443,0.4991735537190083,0.6716085989621943,0.572692793931732,0.7161841556429863
Flight07,131,1876,1286,613,0.5932953826691967,0.7537163519485737,0.6639532826048486,0.744488125539008
